t_TOSD,p_dens_TOSD,p_cum_TOSD
-7.45,0.01,0.001
-7.35,0.01,0.002
-7.25,0,0.002
-7.15,0,0.002
-7.05,0.0200000000000001,0.004
-6.95,0.01,0.005
-6.85,0.0200000000000001,0.007
-6.75,0.01,0.008
-6.65,0,0.008
-6.55,0.01,0.009
-6.45,0.01,0.01
-6.35,0,0.01
-6.25,0.01,0.011
-6.15,0.01,0.012
-6.05,0.0200000000000001,0.014
-5.95,0.0300000000000001,0.017
-5.85,0.0400000000000001,0.021
-5.75,0.0200000000000001,0.023
-5.65,0,0.023
-5.55,0.0300000000000001,0.026
-5.45,0.0200000000000001,0.028
-5.35,0.0400000000000001,0.032
-5.25,0.0400000000000001,0.036
-5.15,0.1,0.046
-5.05,0.0400000000000001,0.05
-4.95,0.0800000000000003,0.058
-4.85,0.0400000000000001,0.062
-4.75,0.0800000000000003,0.07
-4.65,0.0800000000000003,0.078
-4.55,0.170000000000001,0.095
-4.45,0.12,0.107
-4.35,0.0300000000000001,0.11
-4.25,0.0800000000000003,0.118
-4.15,0.140000000000001,0.132
-4.05,0.0800000000000003,0.14
-3.95,0.11,0.151
-3.85,0.0900000000000003,0.16
-3.75,0.12,0.172
-3.65,0.190000000000001,0.191
-3.55,0.13,0.204
-3.45,0.170000000000001,0.221
-3.35,0.140000000000001,0.235
-3.25,0.150000000000001,0.25
-3.15,0.150000000000001,0.265
-3.05,0.150000000000001,0.28
-2.95,0.13,0.293
-2.85,0.13,0.306
-2.75,0.170000000000001,0.323
-2.65,0.250000000000001,0.348
-2.55,0.230000000000001,0.371
-2.45,0.230000000000001,0.394
-2.35,0.170000000000001,0.411
-2.25,0.240000000000001,0.435
-2.15,0.150000000000001,0.45
-2.05,0.240000000000001,0.474
-1.95,0.240000000000001,0.498
-1.85,0.170000000000001,0.515
-1.75,0.200000000000001,0.535
-1.65,0.200000000000001,0.555
-1.55,0.180000000000001,0.573
-1.45,0.170000000000001,0.59
-1.35,0.13,0.603
-1.25,0.200000000000001,0.623
-1.15,0.210000000000001,0.644
-1.05,0.150000000000001,0.659
-0.95,0.170000000000001,0.676
-0.85,0.160000000000001,0.692000000000001
-0.75,0.190000000000001,0.711000000000001
-0.649999999999999,0.160000000000001,0.727000000000001
-0.55,0.230000000000001,0.750000000000001
-0.45,0.150000000000001,0.765000000000001
-0.35,0.210000000000001,0.786000000000001
-0.25,0.150000000000001,0.801000000000001
-0.149999999999999,0.170000000000001,0.818000000000001
-0.0499999999999998,0.1,0.828000000000001
0.0499999999999998,0.0500000000000002,0.833000000000001
0.15,0.0800000000000003,0.841000000000001
0.25,0.0800000000000003,0.849000000000001
0.350000000000001,0.0700000000000003,0.856000000000001
0.45,0.12,0.868000000000001
0.55,0.11,0.879000000000001
0.649999999999999,0.13,0.892000000000001
0.750000000000001,0.0600000000000002,0.898000000000001
0.850000000000001,0.0600000000000002,0.904000000000001
0.95,0.01,0.905000000000001
1.05,0.11,0.916000000000001
1.15,0.0700000000000003,0.923000000000001
1.25,0.0700000000000003,0.930000000000001
1.35,0.0500000000000002,0.935000000000001
1.45,0.01,0.936000000000001
1.55,0.0300000000000001,0.939000000000001
1.65,0.0400000000000001,0.943000000000001
1.75,0.0400000000000001,0.947000000000001
1.85,0.0200000000000001,0.949000000000001
1.95,0,0.949000000000001
2.05,0.0500000000000002,0.954000000000001
2.15,0.01,0.955000000000001
2.25,0.01,0.956000000000001
2.35,0.0300000000000001,0.959000000000001
2.45,0.0200000000000001,0.961000000000001
2.55,0.0200000000000001,0.963000000000001
2.65,0,0.963000000000001
2.75,0.01,0.964000000000001
2.85,0.01,0.965000000000001
2.95,0,0.965000000000001
3.05,0,0.965000000000001
3.15,0,0.965000000000001
3.25,0.0200000000000001,0.967000000000001
3.35,0.0200000000000001,0.969000000000001
3.45,0,0.969000000000001
3.55,0.01,0.970000000000001
3.65,0,0.970000000000001
3.75,0,0.970000000000001
3.85,0,0.970000000000001
3.95,0.01,0.971000000000001
4.05,0.01,0.972000000000001
4.15,0.01,0.973000000000001
4.25,0,0.973000000000001
4.35,0,0.973000000000001
4.45,0.01,0.974000000000001
4.55,0,0.974000000000001
4.65,0.01,0.975000000000001
4.75,0.01,0.976000000000001
4.85,0.0200000000000001,0.978000000000001
4.95,0,0.978000000000001
5.05,0.01,0.979000000000001
5.15,0.01,0.980000000000001
5.25,0,0.980000000000001
5.35,0,0.980000000000001
5.45,0,0.980000000000001
5.55,0,0.980000000000001
5.65,0,0.980000000000001
5.75,0.01,0.981000000000001
5.85,0,0.981000000000001
5.95,0,0.981000000000001
6.05,0.01,0.982000000000001
6.15,0.01,0.983000000000001
6.25,0.01,0.984000000000001
6.35,0,0.984000000000001
6.45,0,0.984000000000001
6.55,0.01,0.985000000000001
6.65,0,0.985000000000001
6.75,0,0.985000000000001
6.85,0,0.985000000000001
6.95,0,0.985000000000001
7.05,0,0.985000000000001
7.15,0,0.985000000000001
7.25,0,0.985000000000001
7.35,0.01,0.986000000000001
7.45,0,0.986000000000001
7.55,0,0.986000000000001
7.65,0.01,0.987000000000001
